"PASSENGERS","DISTANCE","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","MONTH",
0.00,67.00,11336,15293,1,
0.00,17.00,11336,15774,1,
0.00,52.00,12294,10245,1,
0.00,59.00,12720,11336,1,
0.00,33.00,13710,15887,1,
0.00,101.00,14167,10917,1,
0.00,17.00,15774,11336,1,
0.00,13.00,15853,10245,1,
0.00,318.00,10299,10304,1,
0.00,318.00,10299,10304,1,
0.00,348.00,10299,10313,1,
0.00,491.00,10299,10416,1,
0.00,399.00,10299,10551,1,
0.00,273.00,10299,11028,1,
0.00,484.00,10299,11550,1,
0.00,484.00,10299,11550,1,
0.00,329.00,10299,12087,1,
0.00,117.00,10299,12184,1,
0.00,348.00,10299,12676,1,
0.00,345.00,10299,12719,1,
0.00,457.00,10299,12769,1,
0.00,457.00,10299,12769,1,
0.00,442.00,10299,12807,1,
0.00,442.00,10299,12807,1,
0.00,455.00,10299,13434,1,
0.00,455.00,10299,13434,1,
0.00,539.00,10299,13873,1,
0.00,539.00,10299,13873,1,
0.00,429.00,10299,14234,1,
0.00,429.00,10299,14234,1,
0.00,377.00,10299,14627,1,
0.00,329.00,10299,14816,1,
0.00,419.00,10299,14856,1,
0.00,419.00,10299,14856,1,
0.00,421.00,10299,14895,1,
0.00,421.00,10299,14895,1,
0.00,222.00,10299,14987,1,
0.00,494.00,10299,15085,1,
0.00,494.00,10299,15085,1,
0.00,393.00,10299,15478,1,
0.00,393.00,10299,15478,1,
0.00,426.00,10299,15721,1,
0.00,426.00,10299,15721,1,
0.00,318.00,10304,10299,1,
0.00,318.00,10304,10299,1,
0.00,95.00,10304,10551,1,
0.00,180.00,10304,11550,1,
0.00,428.00,10304,11630,1,
0.00,218.00,10304,12195,1,
0.00,127.00,10304,12807,1,
0.00,149.00,10304,12853,1,
0.00,74.00,10304,14493,1,
0.00,140.00,10551,10313,1,
0.00,104.00,10551,10996,1,
0.00,144.00,10551,11028,1,
0.00,157.00,10551,12676,1,
0.00,152.00,10551,14816,1,
0.00,168.00,10551,14880,1,
0.00,188.00,10551,14987,1,
0.00,340.00,10551,15245,1,
0.00,72.00,10640,12268,1,
0.00,249.00,10754,10247,1,
0.00,725.00,10754,10299,1,
0.00,741.00,10754,10551,1,
0.00,311.00,10754,10775,1,
0.00,758.00,10754,11555,1,
0.00,503.00,10754,11630,1,
0.00,310.00,10754,12844,1,
0.00,337.00,10754,13970,1,
0.00,299.00,10754,15861,1,
0.00,645.00,10775,10299,1,
0.00,311.00,10775,10754,1,
0.00,249.00,10775,11833,1,
0.00,173.00,10775,13767,1,
0.00,182.00,11630,10184,1,
0.00,182.00,11630,10184,1,
0.00,513.00,11630,10225,1,
0.00,254.00,11630,10247,1,
0.00,465.00,11630,10396,1,
0.00,503.00,11630,10754,1,
0.00,268.00,11630,11844,1,
0.00,254.00,11630,12214,1,
0.00,326.00,11630,12615,1,
0.00,291.00,11630,12868,1,
0.00,383.00,11630,13767,1,
0.00,302.00,11630,13768,1,
0.00,528.00,11630,14125,1,
0.00,373.00,11630,14709,1,
0.00,329.00,11844,10299,1,
0.00,315.00,11844,10551,1,
0.00,442.00,12807,10299,1,
0.00,442.00,12807,10299,1,
0.00,137.00,12807,11227,1,
0.00,63.00,12807,11550,1,
0.00,514.00,12807,11630,1,
0.00,13.00,12807,13434,1,
0.00,291.00,12868,11630,1,
0.00,298.00,13768,10551,1,
0.00,302.00,13768,11630,1,
0.00,539.00,13873,10299,1,
0.00,521.00,13873,11630,1,
0.00,130.00,13873,12704,1,
0.00,32.00,13942,15785,1,
0.00,337.00,13970,10754,1,
0.00,198.00,13970,14125,1,
0.00,377.00,14627,10299,1,
0.00,269.00,14709,10225,1,
0.00,627.00,14709,10299,1,
0.00,210.00,14709,10396,1,
0.00,671.00,14709,11555,1,
0.00,264.00,14709,11833,1,
0.00,346.00,14709,14125,1,
0.00,393.00,15478,10299,1,
0.00,67.00,15478,11535,1,
0.00,138.00,15478,11550,1,
0.00,334.00,15478,11845,1,
0.00,149.00,15478,12807,1,
0.00,196.00,15478,12822,1,
0.00,225.00,15478,14805,1,
0.00,36.00,15478,14856,1,
0.00,297.00,15478,15049,1,
0.00,158.00,15478,15085,1,
0.00,247.00,15478,15709,1,
0.00,96.00,15478,15794,1,
0.00,71.00,10204,11619,1,
0.00,59.00,10204,12523,1,
0.00,44.00,10204,12610,1,
0.00,64.00,11545,12523,1,
0.00,18.00,11545,14062,1,
0.00,43.00,11619,14062,1,
0.00,25.00,11997,12171,1,
0.00,35.00,12171,12523,1,
0.00,95.00,12171,12610,1,
0.00,59.00,12523,10204,1,
0.00,98.00,12523,12610,1,
0.00,81.00,14797,12523,1,
0.00,47.00,12252,15741,1,
0.00,68.00,12633,15741,1,
0.00,71.00,13693,15741,1,
0.00,47.00,15741,12252,1,
0.00,71.00,15741,13693,1,
0.00,77.00,15741,15885,1,
0.00,77.00,15885,15741,1,
0.00,853.00,10185,10140,1,
0.00,1125.00,10185,10466,1,
0.00,476.00,10185,10747,1,
0.00,273.00,10185,11259,1,
0.00,1212.00,10185,11618,1,
0.00,200.00,10185,12191,1,
0.00,190.00,10185,12266,1,
0.00,646.00,10185,12945,1,
0.00,697.00,10185,13029,1,
0.00,1075.00,10185,13230,1,
0.00,495.00,10185,13256,1,
0.00,836.00,10185,13303,1,
0.00,87.00,10185,13377,1,
0.00,936.00,10185,13487,1,
0.00,713.00,10185,13871,1,
0.00,1468.00,10185,13891,1,
0.00,852.00,10185,14492,1,
0.00,374.00,10185,14683,1,
0.00,795.00,10185,14696,1,
0.00,1456.00,10185,15570,1,
0.00,1125.00,10466,10185,1,
0.00,2118.00,10466,11618,1,
0.00,1980.00,10466,13230,1,
0.00,476.00,10747,10185,1,
0.00,830.00,10747,10599,1,
0.00,1580.00,10747,10792,1,
0.00,1152.00,10747,10994,1,
0.00,880.00,10747,11150,1,
0.00,1679.00,10747,11618,1,
0.00,308.00,10747,12266,1,
0.00,1010.00,10747,12451,1,
0.00,169.00,10747,13061,1,
0.00,1067.00,10747,13303,1,
0.00,258.00,10747,14683,1,
0.00,738.00,10747,15919,1,
0.00,1428.00,10747,16133,1,
0.00,282.00,10792,11618,1,
0.00,215.00,10792,13230,1,
0.00,725.00,10994,12055,1,
0.00,232.00,11049,10185,1,
0.00,329.00,11049,10747,1,
0.00,722.00,11057,10185,1,
0.00,455.00,11150,10185,1,
0.00,880.00,11150,10747,1,
0.00,640.00,11150,12266,1,
0.00,541.00,11150,13303,1,
0.00,390.00,11193,14492,1,
0.00,273.00,11259,10185,1,
0.00,677.00,11540,12191,1,
0.00,1631.00,11540,13303,1,
0.00,1212.00,11618,10185,1,
0.00,821.00,11618,11150,1,
0.00,1365.00,11618,11259,1,
0.00,141.00,11618,13230,1,
0.00,1085.00,11618,13303,1,
0.00,365.00,11995,14100,1,
0.00,765.00,12055,10185,1,
0.00,417.00,12055,13198,1,
0.00,677.00,12191,11540,1,
0.00,995.00,12191,11995,1,
0.00,190.00,12266,10185,1,
0.00,308.00,12266,10747,1,
0.00,1020.00,12339,13303,1,
0.00,594.00,12339,14109,1,
0.00,1010.00,12451,10747,1,
0.00,185.00,12882,13303,1,
0.00,147.00,12945,12339,1,
0.00,1141.00,12945,13256,1,
0.00,1404.00,13029,13303,1,
0.00,700.00,13029,14275,1,
0.00,546.00,13029,14696,1,
0.00,491.00,13061,10185,1,
0.00,121.00,13061,13256,1,
0.00,563.00,13198,10185,1,
0.00,1075.00,13230,10185,1,
0.00,1545.00,13230,10747,1,
0.00,413.00,13230,11057,1,
0.00,1116.00,13256,13303,1,
0.00,836.00,13303,10185,1,
0.00,1067.00,13303,10747,1,
0.00,1034.00,13303,11049,1,
0.00,541.00,13303,11150,1,
0.00,948.00,13303,11193,1,
0.00,1631.00,13303,11540,1,
0.00,1085.00,13303,11618,1,
0.00,994.00,13303,12320,1,
0.00,1020.00,13303,12339,1,
0.00,880.00,13303,12945,1,
0.00,1191.00,13303,13061,1,
0.00,0.00,13303,13303,1,
0.00,1258.00,13303,13342,1,
0.00,1013.00,13303,14100,1,
0.00,1176.00,13303,14275,1,
0.00,1209.00,13303,14307,1,
0.00,700.00,13303,14492,1,
0.00,1047.00,13303,14711,1,
0.00,1258.00,13342,13303,1,
0.00,632.00,13377,13029,1,
0.00,526.00,13487,15295,1,
0.00,164.00,13495,10185,1,
0.00,627.00,13871,15295,1,
0.00,94.00,13891,14679,1,
0.00,1197.00,13930,13303,1,
0.00,678.00,13930,14100,1,
0.00,1011.00,13931,10185,1,
0.00,90.00,14100,10821,1,
0.00,1013.00,14100,13303,1,
0.00,212.00,14100,13931,1,
0.00,337.00,14100,14492,1,
0.00,770.00,14109,13871,1,
0.00,920.00,14112,10747,1,
0.00,1013.00,14122,13303,1,
0.00,929.00,14275,10185,1,
0.00,484.00,14275,10693,1,
0.00,852.00,14492,10185,1,
0.00,700.00,14492,13303,1,
0.00,292.00,14492,15412,1,
0.00,1446.00,14679,10185,1,
0.00,258.00,14683,10747,1,
0.00,795.00,14696,10185,1,
0.00,637.00,14696,11618,1,
0.00,402.00,15249,13303,1,
0.00,1312.00,15295,13061,1,
0.00,667.00,15412,11764,1,
0.00,1456.00,15570,10185,1,
0.00,356.00,15919,10185,1,
0.00,549.00,15919,12945,1,
0.00,350.00,16133,12055,1,
0.00,1727.00,10140,12010,1,
0.00,2187.00,10185,10711,1,
0.00,1159.00,10185,12010,1,
0.00,1351.00,10185,12693,1,
0.00,914.00,10185,13252,1,
0.00,1540.00,10185,14012,1,
0.00,1251.00,10185,14677,1,
0.00,1683.00,10185,14739,1,
0.00,2187.00,10711,10185,1,
0.00,898.00,10747,12010,1,
0.00,946.00,10747,14681,1,
0.00,1322.00,11259,14681,1,
0.00,1159.00,12010,10185,1,
0.00,1849.00,12010,10466,1,
0.00,898.00,12010,10747,1,
0.00,1017.00,12010,13303,1,
0.00,1103.00,12266,12010,1,
0.00,1207.00,12266,14677,1,
0.00,1106.00,12266,14681,1,
0.00,1575.00,12693,11618,1,
0.00,1180.00,13061,14677,1,
0.00,914.00,13252,10185,1,
0.00,1381.00,13269,10185,1,
0.00,1611.00,13303,10575,1,
0.00,1017.00,13303,12010,1,
0.00,184.00,13303,13605,1,
0.00,1540.00,14012,10185,1,
0.00,1832.00,14012,13061,1,
0.00,1015.00,14677,10747,1,
0.00,1180.00,14677,13061,1,
0.00,1023.00,14677,13303,1,
0.00,1131.00,14681,10185,1,
0.00,866.00,14681,13303,1,
0.00,1147.00,14683,12010,1,
0.00,1683.00,14739,10185,1,
0.00,848.00,14739,13303,1,
0.00,9.00,12652,13002,1,
0.00,9.00,13002,12652,1,
0.00,76.00,13002,15856,1,
0.00,69.00,15856,12652,1,
0.00,1506.00,10711,13303,1,
0.00,543.00,10911,14843,1,
0.00,4318.00,10994,15906,1,
0.00,4563.00,11099,15906,1,
0.00,1552.00,11109,13667,1,
0.00,5580.00,11344,15906,1,
0.00,4182.00,11418,14843,1,
0.00,3623.00,11459,12173,1,
0.00,4289.00,12134,15950,1,
0.00,3791.00,12173,15422,1,
0.00,5541.00,12957,11344,1,
0.00,2180.00,13297,10994,1,
0.00,2584.00,13297,12134,1,
0.00,1506.00,13303,10711,1,
0.00,1175.00,13618,13667,1,
0.00,1175.00,13667,13618,1,
0.00,785.00,13667,14635,1,
0.00,4189.00,13667,15022,1,
0.00,5905.00,13700,13998,1,
0.00,1239.00,13947,14635,1,
0.00,848.00,14012,11099,1,
0.00,815.00,14012,14635,1,
0.00,1583.00,14635,10711,1,
0.00,1162.00,14635,11459,1,
0.00,4480.00,14635,13010,1,
0.00,104.00,14635,13303,1,
0.00,785.00,14635,13667,1,
0.00,2162.00,14635,13700,1,
0.00,0.00,14635,14635,1,
0.00,543.00,14843,10911,1,
0.00,4437.00,14843,12957,1,
0.00,5182.00,15022,11109,1,
0.00,305.00,15045,13297,1,
0.00,216.00,12173,12402,1,
0.00,163.00,12173,12758,1,
0.00,102.00,12173,12982,1,
0.00,100.00,12173,13830,1,
0.00,216.00,12402,12173,1,
0.00,65.00,12402,12758,1,
0.00,318.00,12402,12982,1,
0.00,121.00,12402,13830,1,
0.00,163.00,12758,12173,1,
0.00,65.00,12758,12402,1,
0.00,263.00,12758,12982,1,
0.00,84.00,12758,13830,1,
0.00,102.00,12982,12173,1,
0.00,201.00,12982,13830,1,
0.00,100.00,13830,12173,1,
0.00,121.00,13830,12402,1,
0.00,84.00,13830,12758,1,
0.00,201.00,13830,12982,1,
0.00,267.00,10529,14576,1,
0.00,936.00,10747,13198,1,
0.00,1375.00,10747,16091,1,
0.00,1279.00,11066,13061,1,
0.00,661.00,11193,10529,1,
0.00,1069.00,11193,11292,1,
0.00,589.00,11193,12478,1,
0.00,507.00,11193,14100,1,
0.00,461.00,11193,14576,1,
0.00,1450.00,11193,14869,1,
0.00,1200.00,11259,13891,1,
0.00,391.00,11292,14869,1,
0.00,1247.00,11540,14730,1,
0.00,1036.00,12217,14259,1,
0.00,1334.00,12266,13891,1,
0.00,1090.00,12266,14656,1,
0.00,106.00,12478,10529,1,
0.00,828.00,12945,12266,1,
0.00,825.00,12945,14027,1,
0.00,432.00,12992,14730,1,
0.00,1354.00,13061,16091,1,
0.00,1139.00,13244,10721,1,
0.00,1858.00,13891,12945,1,
0.00,2284.00,13891,14027,1,
0.00,1091.00,14027,11259,1,
0.00,825.00,14027,12945,1,
0.00,857.00,14027,14730,1,
0.00,507.00,14100,11193,1,
0.00,744.00,14512,14656,1,
0.00,267.00,14576,10529,1,
0.00,461.00,14576,11193,1,
0.00,388.00,14656,12917,1,
0.00,729.00,14730,11430,1,
0.00,491.00,14730,13198,1,
0.00,1796.00,14730,13891,1,
0.00,1578.00,11057,15246,1,
0.00,1910.00,11187,10135,1,
0.00,1242.00,11187,11612,1,
0.00,1200.00,11187,12217,1,
0.00,377.00,11193,16078,1,
0.00,1784.00,11537,14886,1,
0.00,804.00,11540,10638,1,
0.00,1913.00,12217,16178,1,
0.00,2500.00,12266,16178,1,
0.00,1534.00,13061,16078,1,
0.00,1519.00,16477,12945,1,
0.00,1243.00,14736,10638,1,
0.00,165.00,14886,13061,1,
0.00,478.00,15163,16078,1,
0.00,377.00,16078,11193,1,
0.00,253.00,10170,10299,1,
0.00,288.00,10245,10299,1,
0.00,253.00,10299,10170,1,
0.00,288.00,10299,10245,1,
0.00,0.00,10299,10299,1,
0.00,0.00,10299,10299,1,
0.00,318.00,10299,10304,1,
0.00,399.00,10299,10551,1,
0.00,645.00,10299,10775,1,
0.00,620.00,10299,10917,1,
0.00,160.00,10299,10926,1,
0.00,329.00,10299,11336,1,
0.00,792.00,10299,11445,1,
0.00,261.00,10299,11630,1,
0.00,195.00,10299,12321,1,
0.00,571.00,10299,12523,1,
0.00,345.00,10299,12719,1,
0.00,280.00,10299,12755,1,
0.00,775.00,10299,12819,1,
0.00,102.00,10299,13629,1,
0.00,678.00,10299,14256,1,
0.00,557.00,10299,14738,1,
0.00,592.00,10299,14828,1,
0.00,767.00,10299,14919,1,
0.00,765.00,10299,15012,1,
0.00,113.00,10299,15171,1,
0.00,708.00,10299,15841,1,
0.00,373.00,10299,15991,1,
0.00,318.00,10304,10299,1,
0.00,399.00,10551,10299,1,
0.00,645.00,10775,10299,1,
0.00,620.00,10917,10299,1,
0.00,160.00,10926,10299,1,
0.00,91.00,10926,13629,1,
0.00,49.00,10926,15171,1,
0.00,329.00,11336,10299,1,
0.00,792.00,11445,10299,1,
0.00,261.00,11630,10299,1,
0.00,195.00,12321,10299,1,
0.00,571.00,12523,10299,1,
0.00,234.00,12523,12819,1,
0.00,123.00,12523,14256,1,
0.00,95.00,12523,14828,1,
0.00,153.00,12523,15841,1,
0.00,724.00,12728,10299,1,
0.00,775.00,12819,10299,1,
0.00,234.00,12819,12523,1,
0.00,111.00,12819,14256,1,
0.00,82.00,12819,15841,1,
0.00,102.00,13629,10299,1,
0.00,678.00,14256,10299,1,
0.00,123.00,14256,12523,1,
0.00,557.00,14738,10299,1,
0.00,261.00,14738,11445,1,
0.00,592.00,14828,10299,1,
0.00,95.00,14828,12523,1,
0.00,183.00,14828,12819,1,
0.00,93.00,14828,14256,1,
0.00,120.00,14828,15841,1,
0.00,767.00,14919,10299,1,
0.00,268.00,14919,11445,1,
0.00,765.00,15012,10299,1,
0.00,113.00,15171,10299,1,
0.00,708.00,15841,10299,1,
0.00,153.00,15841,12523,1,
0.00,31.00,15841,14256,1,
0.00,373.00,15991,10299,1,
0.00,288.00,10245,10299,1,
0.00,71.00,10245,11336,1,
0.00,288.00,10299,10245,1,
0.00,0.00,10299,10299,1,
0.00,620.00,10299,10917,1,
0.00,329.00,10299,11336,1,
0.00,792.00,10299,11445,1,
0.00,767.00,10299,14919,1,
0.00,620.00,10917,10299,1,
0.00,178.00,10917,11445,1,
0.00,329.00,11336,10299,1,
0.00,792.00,11445,10299,1,
0.00,767.00,14919,10299,1,
0.00,441.00,15012,11336,1,
0.00,630.00,16668,10299,1,
0.00,636.00,10033,10299,1,
0.00,59.00,10033,14709,1,
0.00,399.00,10299,10551,1,
0.00,539.00,10299,13873,1,
0.00,548.00,10299,13970,1,
0.00,399.00,10551,10299,1,
0.00,1799.00,10917,10559,1,
0.00,959.00,12892,10559,1,
0.00,539.00,13873,10299,1,
0.00,528.00,13873,11555,1,
0.00,183.00,13873,13970,1,
0.00,597.00,13873,14709,1,
0.00,548.00,13970,10299,1,
0.00,424.00,13970,14709,1,
0.00,51.00,14709,16668,1,
0.00,59.00,14709,10033,1,
0.00,627.00,14709,10299,1,
0.00,204.00,14709,10754,1,
0.00,113.00,14709,10775,1,
0.00,45.00,15508,10033,1,
0.00,1248.00,14771,14832,1,
0.00,1248.00,14832,14771,1,
0.00,628.00,10397,10621,1,
0.00,65.00,10621,13898,1,
0.00,663.00,11057,10621,1,
0.00,110.00,11503,10325,1,
0.00,66.00,11827,10621,1,
0.00,37.00,12197,12391,1,
0.00,537.00,12264,13461,1,
0.00,37.00,12391,12197,1,
0.00,12.00,13461,10693,1,
0.00,553.00,13461,11656,1,
0.00,1068.00,13461,11907,1,
0.00,800.00,13461,15260,1,
0.00,843.00,13898,13377,1,
0.00,704.00,14656,10621,1,
0.00,151.00,14730,12574,1,
0.00,11.00,14771,13796,1,
0.00,1090.00,15167,13898,1,
0.00,73.00,15260,10621,1,
0.00,613.00,12574,11259,1,
0.00,967.00,12574,11898,1,
0.00,190.00,15304,11827,1,
0.00,156.00,15370,14783,1,
0.00,6990.00,10971,13930,1,
0.00,2505.00,13930,10911,1,
0.00,6990.00,13930,10971,1,
0.00,0.00,11278,11278,1,
0.00,1854.00,12016,13162,1,
0.00,1016.00,12016,14186,1,
0.00,814.00,12016,14583,1,
0.00,3801.00,12173,12016,1,
0.00,2599.00,12173,14222,1,
0.00,2280.00,13162,12173,1,
0.00,1016.00,14186,12016,1,
0.00,2599.00,14222,12173,1,
0.00,814.00,14583,12016,1,
0.00,633.00,15237,12016,1,
0.00,0.00,10299,10299,1,
0.00,3110.00,10299,11193,1,
0.00,2345.00,10299,12892,1,
0.00,3110.00,11193,10299,1,
0.00,0.00,11193,11193,1,
0.00,4433.00,11193,12173,1,
0.00,1900.00,11193,12892,1,
0.00,948.00,11193,13303,1,
0.00,264.00,11193,13930,1,
0.00,2345.00,12892,10299,1,
0.00,1900.00,12892,11193,1,
0.00,0.00,12892,12892,1,
0.00,948.00,13303,11193,1,
0.00,0.00,13303,13303,1,
0.00,2846.00,13930,10299,1,
0.00,264.00,13930,11193,1,
0.00,0.00,13930,13930,1,
0.00,5081.00,10299,12143,1,
0.00,3799.00,10299,12277,1,
0.00,3434.00,10299,13744,1,
0.00,6808.00,11193,12277,1,
0.00,4452.00,11193,12938,1,
0.00,6538.00,11193,13744,1,
0.00,377.00,11193,16078,1,
0.00,5081.00,12143,10299,1,
0.00,8041.00,12143,11193,1,
0.00,7260.00,12143,12892,1,
0.00,5066.00,12173,15092,1,
0.00,3799.00,12277,10299,1,
0.00,6089.00,12892,12016,1,
0.00,5995.00,12892,12277,1,
0.00,5838.00,12892,12938,1,
0.00,6485.00,12892,14309,1,
0.00,4452.00,12938,11193,1,
0.00,6699.00,13694,11193,1,
0.00,3434.00,13744,10299,1,
0.00,6538.00,13744,11193,1,
0.00,6552.00,13930,12277,1,
0.00,4308.00,14309,10299,1,
0.00,377.00,16078,11193,1,
0.00,1506.00,10711,13303,1,
0.00,2608.00,12986,13303,1,
0.00,1388.00,13218,13303,1,
0.00,1506.00,13303,10711,1,
0.00,3599.00,13303,10758,1,
0.00,3963.00,13303,11082,1,
0.00,4095.00,13303,11204,1,
0.00,1017.00,13303,12010,1,
0.00,1388.00,13303,13218,1,
0.00,4462.00,13303,13532,1,
0.00,4118.00,13303,14717,1,
0.00,1787.00,13303,15455,1,
0.00,4024.00,13303,15567,1,
0.00,3201.00,13303,15643,1,
0.00,4118.00,14717,13303,1,
0.00,1117.00,14838,13303,1,
0.00,1787.00,15455,13303,1,
0.00,163.00,11392,11924,1,
0.00,40.00,16390,13467,1,
0.00,40.00,13467,16390,1,
0.00,69.00,13467,14863,1,
0.00,69.00,13467,14863,1,
0.00,44.00,13467,15406,1,
0.00,53.00,13467,15934,1,
0.00,69.00,14863,13467,1,
0.00,44.00,15406,13467,1,
0.00,143.00,10257,11618,1,
0.00,404.00,10397,13204,1,
0.00,190.00,10423,11298,1,
